Column,Source_System,API_URL,Spatial_Res,Temporal_Res,Update_Frequency,Update_Category,Availability_Label,Missing_%,Missing_Root_Cause,Missing_Treatment,Gate1_Status,Gate2_Status
vpd_Percentile,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.1238,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
vs,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
vs_5D_max,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
vs_5D_mean,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
vs_Percentile,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.2201,unknown,REVIEW — investigate before deciding,RETAINED,RETAINED
avg_burn_prob,"USFS FSim (50,000 stochastic fire simulations)",https://www.firelab.org/project/wildfire-hazard-potential,270m raster,Static,,STATIC,PRE_FIRE_STATIC,0.0,,zero-fill (0 = never burned in simulation),RETAINED,RETAINED
whp,USFS Wildfire Hazard Potential,https://www.firelab.org/project/wildfire-hazard-potential,270m raster,Static,,STATIC,PRE_FIRE_STATIC,0.0,,zero-fill,RETAINED,RETAINED
flep4,LANDFIRE LF2022,https://landfire.gov/viewer/,30m raster,Static (~2yr release),,STATIC,PRE_FIRE_STATIC,0.0,,zero-fill,RETAINED,RETAINED
cfl,LANDFIRE LF2022,https://landfire.gov/viewer/,30m raster,Static (~2yr release),,STATIC,PRE_FIRE_STATIC,0.0,,zero-fill,RETAINED,RETAINED
sin_month,Computed from window_6h_utc timestamp,N/A,N/A,Per-window,,DAILY,PRE_FIRE_DYNAMIC,0.0,,none,RETAINED,RETAINED
cos_month,Computed,N/A,N/A,Per-window,,DAILY,PRE_FIRE_DYNAMIC,0.0,,none,RETAINED,RETAINED
sin_hour,Computed,N/A,N/A,Per-window,,DAILY,PRE_FIRE_DYNAMIC,0.0,,none,RETAINED,RETAINED
cos_hour,Computed,N/A,N/A,Per-window,,DAILY,PRE_FIRE_DYNAMIC,0.0,,none,RETAINED,RETAINED
centroid_lat,H3 centroid (h3.cell_to_latlng),N/A,H3-R8 cell centroid,Static,,STATIC,PRE_FIRE_STATIC,0.0,,none,RETAINED,RETAINED
centroid_lon,H3 centroid (h3.cell_to_latlng),N/A,H3-R8 cell centroid,Static,,STATIC,PRE_FIRE_STATIC,0.0,,none,RETAINED,RETAINED
rh_pw,NOAA HRRR (AWS S3 via Herbie),s3://noaa-hrrr-bdp-pds,3km analysis grid,6-hourly,,DAILY,PRE_FIRE_DYNAMIC,24.4,,zero-fill + hrrr_available flag,RETAINED,RETAINED
temp_pw,NOAA HRRR,s3://noaa-hrrr-bdp-pds,3km,6-hourly,,DAILY,PRE_FIRE_DYNAMIC,24.4,,zero-fill + hrrr_available flag,RETAINED,RETAINED
wind_speed_pw,NOAA HRRR (UGRD+VGRD → √(U²+V²)),s3://noaa-hrrr-bdp-pds,3km,6-hourly,,DAILY,PRE_FIRE_DYNAMIC,24.4,,zero-fill + hrrr_available flag,RETAINED,RETAINED
